experiment_id,dataset,model_name,training_strategy,head_type,learning_rate,batch_size,weight_decay,epochs,frozen_epochs,patience,seed,epoch,phase,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5,epoch_time,trainable_parameters
cifar10_small_cnn_full_training_linear_lr0p001_bs64_wd0p0001_seed123,cifar10,small_cnn,full_training,linear,0.001,64,0.0001,20,0,5,123,16,train_val,0.6655908289379544,76.90666666666667,98.52666666666669,0.590963642692566,79.8,98.96,27.18075739999768,141354
cifar10_small_cnn_full_training_linear_lr0p001_bs64_wd0p0001_seed123,cifar10,small_cnn,full_training,linear,0.001,64,0.0001,20,0,5,123,17,train_val,0.6482787027888828,77.53777777777778,98.68222222222222,0.5856249916553498,80.3,98.82,27.28737249999904,141354
cifar10_small_cnn_full_training_linear_lr0p001_bs64_wd0p0001_seed123,cifar10,small_cnn,full_training,linear,0.001,64,0.0001,20,0,5,123,18,train_val,0.6443219328986274,77.83333333333333,98.62,0.5836837815284729,80.12,98.94,27.365248099999008,141354
cifar10_small_cnn_full_training_linear_lr0p001_bs64_wd0p0001_seed123,cifar10,small_cnn,full_training,linear,0.001,64,0.0001,20,0,5,123,19,train_val,0.6279593626234267,78.42,98.60444444444444,0.5735935079813004,81.16,98.96,27.31427729999996,141354
cifar10_small_cnn_full_training_linear_lr0p001_bs64_wd0p0001_seed123,cifar10,small_cnn,full_training,linear,0.001,64,0.0001,20,0,5,123,20,train_val,0.6241770869996812,78.3711111111111,98.7311111111111,0.5649799286127091,80.82,99.0,26.90096640000047,141354
cifar10_small_cnn_full_training_linear_lr0p001_bs64_wd0p0001_seed7,cifar10,small_cnn,full_training,linear,0.001,64,0.0001,20,0,5,7,1,train_val,1.5935443326950074,41.03777777777778,89.48444444444445,1.265646902656555,53.8,94.84,27.0194436999991,141354
cifar10_small_cnn_full_training_linear_lr0p001_bs64_wd0p0001_seed7,cifar10,small_cnn,full_training,linear,0.001,64,0.0001,20,0,5,7,2,train_val,1.27622394273546,53.86888888888889,94.37555555555556,1.1514202646255494,59.3,96.0,27.304274300000543,141354
cifar10_small_cnn_full_training_linear_lr0p001_bs64_wd0p0001_seed7,cifar10,small_cnn,full_training,linear,0.001,64,0.0001,20,0,5,7,3,train_val,1.145321689520942,58.92444444444445,95.63777777777776,1.0294461666107175,63.2,96.7,26.97540830000071,141354
cifar10_small_cnn_full_training_linear_lr0p001_bs64_wd0p0001_seed7,cifar10,small_cnn,full_training,linear,0.001,64,0.0001,20,0,5,7,4,train_val,1.0529054293526543,62.52222222222223,96.38222222222224,0.9562633358001708,66.62,96.66,26.99474099999861,141354
cifar10_small_cnn_full_training_linear_lr0p001_bs64_wd0p0001_seed7,cifar10,small_cnn,full_training,linear,0.001,64,0.0001,20,0,5,7,5,train_val,0.984943042839898,65.09555555555555,96.75777777777778,0.8433057877540588,70.06,97.9,27.128442299999733,141354
cifar10_small_cnn_full_training_linear_lr0p001_bs64_wd0p0001_seed7,cifar10,small_cnn,full_training,linear,0.001,64,0.0001,20,0,5,7,6,train_val,0.9265946570184496,67.59555555555555,97.1511111111111,0.8649939867019654,69.14,97.86,27.06967749999967,141354
cifar10_small_cnn_full_training_linear_lr0p001_bs64_wd0p0001_seed7,cifar10,small_cnn,full_training,linear,0.001,64,0.0001,20,0,5,7,7,train_val,0.8720058294402229,69.11555555555556,97.66,0.7403678330898285,74.16,98.2,27.93733770000108,141354
cifar10_small_cnn_full_training_linear_lr0p001_bs64_wd0p0001_seed7,cifar10,small_cnn,full_training,linear,0.001,64,0.0001,20,0,5,7,8,train_val,0.8328647355715434,71.08666666666667,97.75777777777778,0.7490050749301911,74.46,97.96,26.687602300000435,141354
cifar10_small_cnn_full_training_linear_lr0p001_bs64_wd0p0001_seed7,cifar10,small_cnn,full_training,linear,0.001,64,0.0001,20,0,5,7,9,train_val,0.7945224995507134,72.38222222222223,97.97555555555556,0.6955718170404435,75.92,98.52,26.436522399999376,141354
cifar10_small_cnn_full_training_linear_lr0p001_bs64_wd0p0001_seed7,cifar10,small_cnn,full_training,linear,0.001,64,0.0001,20,0,5,7,10,train_val,0.7656895346005758,73.4888888888889,98.16222222222224,0.6975101962566376,75.8,98.38,26.379594800000632,141354
cifar10_small_cnn_full_training_linear_lr0p001_bs64_wd0p0001_seed7,cifar10,small_cnn,full_training,linear,0.001,64,0.0001,20,0,5,7,11,train_val,0.7417524031321208,74.34,98.25333333333332,0.6672659822702408,77.18,98.48,26.33851450000293,141354
cifar10_small_cnn_full_training_linear_lr0p001_bs64_wd0p0001_seed7,cifar10,small_cnn,full_training,linear,0.001,64,0.0001,20,0,5,7,12,train_val,0.7211526130888197,75.15777777777778,98.35111111111112,0.6637264626026154,77.34,98.48,26.34455170000001,141354
cifar10_small_cnn_full_training_linear_lr0p001_bs64_wd0p0001_seed7,cifar10,small_cnn,full_training,linear,0.001,64,0.0001,20,0,5,7,13,train_val,0.7041798177507188,75.56222222222222,98.38666666666668,0.6413162608385086,78.02,98.48,27.142347300003166,141354
cifar10_small_cnn_full_training_linear_lr0p001_bs64_wd0p0001_seed7,cifar10,small_cnn,full_training,linear,0.001,64,0.0001,20,0,5,7,14,train_val,0.6879450288560656,76.55111111111111,98.43111111111112,0.585190244269371,79.78,98.76,31.90911040000356,141354
cifar10_small_cnn_full_training_linear_lr0p001_bs64_wd0p0001_seed7,cifar10,small_cnn,full_training,linear,0.001,64,0.0001,20,0,5,7,15,train_val,0.6712444835450914,76.87333333333333,98.58888888888887,0.6134901816368103,79.06,98.34,26.82047779999993,141354
